epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,533.615,0.34166,0.1733,0.00081,0.97811,0.98818,0.99418,0.96867,0.30817,0.14456,0.00228,0.00091175,0.00091175,0.00091175
84,539.657,0.32917,0.17672,0.00078,0.97335,0.99156,0.99458,0.93939,0.36187,0.14226,0.00257,0.000907625,0.000907625,0.000907625
85,545.705,0.33748,0.1682,0.00082,0.98667,0.98771,0.99479,0.96947,0.29583,0.12839,0.00188,0.0009035,0.0009035,0.0009035
86,551.75,0.33119,0.16614,0.00082,0.97644,0.97053,0.99247,0.96953,0.29689,0.15577,0.00202,0.000899375,0.000899375,0.000899375
87,557.793,0.32575,0.16467,0.0008,0.99451,0.97524,0.99407,0.96641,0.28964,0.13067,0.002,0.00089525,0.00089525,0.00089525
88,563.829,0.3298,0.16683,0.00082,0.99366,0.98991,0.99488,0.97224,0.32877,0.12794,0.00256,0.000891125,0.000891125,0.000891125
89,569.866,0.32401,0.16424,0.00079,0.86594,0.97251,0.98194,0.94672,0.34462,0.16832,0.00241,0.000887,0.000887,0.000887
90,575.923,0.33698,0.17063,0.00083,0.96144,0.97857,0.9931,0.96064,0.27839,0.14266,0.00199,0.000882875,0.000882875,0.000882875
91,581.99,0.3349,0.17223,0.00082,0.98257,0.97865,0.99404,0.96574,0.28752,0.14271,0.00197,0.00087875,0.00087875,0.00087875
92,588.02,0.34329,0.17402,0.00083,0.98205,0.97913,0.99395,0.9758,0.29598,0.15625,0.00202,0.000874625,0.000874625,0.000874625
93,594.1,0.34638,0.17452,0.00082,0.97434,0.98679,0.99418,0.97081,0.3051,0.15503,0.00233,0.0008705,0.0008705,0.0008705
94,600.15,0.32393,0.16812,0.0008,0.97789,0.99271,0.99452,0.9723,0.26852,0.11677,0.00175,0.000866375,0.000866375,0.000866375
95,606.203,0.31433,0.1662,0.00075,0.99535,0.96742,0.99414,0.97628,0.26893,0.13624,0.00192,0.00086225,0.00086225,0.00086225
96,612.25,0.32234,0.16453,0.00078,0.98616,0.97937,0.99377,0.97834,0.28733,0.12906,0.00196,0.000858125,0.000858125,0.000858125
97,618.303,0.32003,0.16159,0.00078,0.96685,0.99048,0.99403,0.96213,0.29831,0.13334,0.00233,0.000854,0.000854,0.000854
98,624.337,0.32961,0.1623,0.00082,0.97746,0.98537,0.99334,0.96107,0.29697,0.13506,0.00207,0.000849875,0.000849875,0.000849875
99,630.392,0.32089,0.15551,0.00081,0.9792,0.9801,0.99413,0.97003,0.29734,0.13725,0.00204,0.00084575,0.00084575,0.00084575
100,636.418,0.32463,0.16001,0.00079,0.97359,0.9927,0.99408,0.9744,0.28713,0.12207,0.00177,0.000841625,0.000841625,0.000841625
101,642.461,0.32502,0.16145,0.0008,0.98765,0.98272,0.9943,0.97074,0.33407,0.14045,0.0024,0.0008375,0.0008375,0.0008375
102,648.528,0.31698,0.16085,0.00079,0.97342,0.99637,0.99435,0.97481,0.28411,0.13586,0.0019,0.000833375,0.000833375,0.000833375
103,654.581,0.315,0.16367,0.00076,0.96815,0.99455,0.99428,0.97705,0.28547,0.13735,0.00203,0.00082925,0.00082925,0.00082925
104,660.623,0.31403,0.15351,0.00079,0.98092,0.98864,0.99457,0.96389,0.31409,0.13601,0.00214,0.000825125,0.000825125,0.000825125
105,666.68,0.32921,0.15227,0.0008,0.98475,0.95604,0.99468,0.97465,0.27529,0.14195,0.00197,0.000821,0.000821,0.000821
106,672.715,0.32609,0.15267,0.00081,0.98345,0.97877,0.99479,0.95989,0.35945,0.15901,0.00218,0.000816875,0.000816875,0.000816875
107,678.749,0.32571,0.15611,0.00079,0.99148,0.99359,0.99498,0.96254,0.28793,0.10797,0.00192,0.00081275,0.00081275,0.00081275
